FID,VIN,Address,Date,DateD,DateH,Lat,Long,t2,t2D,t2H,VIN1,Address1,Date1,Date1D,Date1H,Lat1,Long1,t21,t21D,t21H
1,BNYB048,"80-82 Roncesvalles Ave, Toronto, ON M6R 2K7",10/15/2017 0:01,15,0,43.64159,-79.44733,10/15/2017 8:42,15,8,BNYB048,"157 Garden Ave, Toronto, ON M6R 1H8",10/15/2017 8:47,15,8,43.64399,-79.44644,10/15/2017 16:00,15,16
2,BNYB048,"157 Garden Ave, Toronto, ON M6R 1H8",10/15/2017 8:47,15,8,43.64399,-79.44644,10/15/2017 16:00,15,16,BNYB048,"912 Eglinton Ave W, Toronto, ON M6C 2C2",10/15/2017 16:57,15,16,43.70073,-79.42786,10/15/2017 18:30,15,18
3,BNYB050,Green P-800 Fleet St(No Double Parking),10/15/2017 0:01,15,0,43.63691,-79.40972,10/15/2017 10:12,15,10,BNYB050,The Garrison-169 Fort York BLVD (1 car/space only),10/15/2017 11:32,15,11,43.63779,-79.40155,10/15/2017 13:39,15,13
4,BNYB050,The Garrison-169 Fort York BLVD (1 car/space only),10/15/2017 11:32,15,11,43.63779,-79.40155,10/15/2017 13:39,15,13,BNYB050,"7 Oxley St, Toronto, ON M5V",10/15/2017 12:18,15,12,43.64633,-79.39455,10/15/2017 12:44,15,12
5,BNYB050,"7 Oxley St, Toronto, ON M5V",10/15/2017 12:18,15,12,43.64633,-79.39455,10/15/2017 12:44,15,12,BNYB050,UofT-42 Harbord St-car2go park signs (enter alley),10/15/2017 14:29,15,14,43.66373,-79.40103,10/15/2017 15:19,15,15
6,BNYB050,UofT-42 Harbord St-car2go park signs (enter alley),10/15/2017 14:29,15,14,43.66373,-79.40103,10/15/2017 15:19,15,15,BNYB050,"70-80 Gowan Ave, East York, ON M4K 2E4",10/15/2017 16:10,15,16,43.68784,-79.3518,10/15/2017 17:09,15,17
7,BNYB050,"70-80 Gowan Ave, East York, ON M4K 2E4",10/15/2017 16:10,15,16,43.68784,-79.3518,10/15/2017 17:09,15,17,BNYB050,"1909 Danforth Ave, Toronto, ON M4C 1J4",10/15/2017 18:05,15,18,43.68489,-79.31641,10/15/2017 18:30,15,18
8,BNYB053,"13 Spruce St, Toronto, ON M5A 2H6",10/15/2017 0:22,15,0,43.66331,-79.36686,10/15/2017 1:12,15,1,BNYB053,"455 Cooperage St, Toronto, ON M5A 1G9",10/15/2017 1:27,15,1,43.65193,-79.3565,10/15/2017 2:47,15,2
9,BNYB053,"455 Cooperage St, Toronto, ON M5A 1G9",10/15/2017 1:27,15,1,43.65193,-79.3565,10/15/2017 2:47,15,2,BNYB053,"277 Lappin Ave, Toronto, ON M6H 1Y9",10/15/2017 3:12,15,3,43.66482,-79.44655,10/15/2017 10:32,15,10
10,BNYB053,"277 Lappin Ave, Toronto, ON M6H 1Y9",10/15/2017 3:12,15,3,43.66482,-79.44655,10/15/2017 10:32,15,10,BNYB053,"586-640 Lansdowne Ave, Toronto, ON M6H 3Y7",10/15/2017 12:13,15,12,43.66129,-79.44392,10/15/2017 12:44,15,12
