TTS Zone,Pop,AgeAvg,IncMed,PropDet,PropHigh,PropLow
0,1728.836015,38.9,75648,0.070895522,0,0.929104478
1,1676.358553,42.3,144384,0.257163832,0.405747379,0.491468656
3,713.641447,42.3,144384,0.109477038,0.172730438,0.209222784
5,149.1215472,39.3,108186,0.006125944,0,0.093931147
6,313.9633578,39.3,108186,0.012897681,0,0.197764435
10,131.915095,39.3,108186,0.0054191,0,0.083092863
12,1497.495851,41.4,63104,0,1.223184809,0.216219537
13,849.8936376,41.4,63104,0,0.694210262,0.122713935
14,1317.11569,41.4,63104,0,1.075846656,0.190174914
15,923.3765996,41.4,63104,0,0.754232627,0.133323949
16,4665.525654,37.5,80441,0.003763636,3.786217422,0.858108919
17,4530,35.1,57109,0.008147575,2.362796717,1.205841083
18,6275,35.6,34848,0,3.55234265,0.953266262
19,2370,45.9,81664,0.097770899,0.122213623,1.735433451
20,1695,44.9,125184,0.130361198,0,1.197693508
21,18610,38.68760727,47236.39518,0.008147575,14.41305997,1.148808059
22,7605,45.9,51190,0.0325903,5.377399425,1.808761625
23,5360,43.6,25736,0.089623324,2.036893721,2.183550069
24,5045,40.6,22208,0.008147575,3.193849355,1.246578958
25,5434.474346,37.5,80441,0.004383939,4.410242913,0.999538155
26,1595.902048,41.4,63104,0,1.303564976,0.230428152
27,490.3399153,41.4,63104,0,0.400519531,0.070798907
28,503.9846035,41.4,63104,0,0.411664787,0.072769028
29,721.8916546,41.4,63104,0,0.589655661,0.104232061
30,1815.323653,40.8,92105,0,1.718426858,0
31,1025.921303,40.8,92105,0,0.971160552,0
32,798.1245139,40.8,92105,0,0.755522906,0
33,876.6576358,40.8,92105,0,0.829864154,0
34,3036.710204,38.4,80626,0,3.158614389,0.035401656
35,1205.804847,42.6,91097,0,1.155336987,0.037528348
36,2459.195153,42.6,91097,0,2.356267789,0.076537701
37,2631.582391,38.3,53472,0,2.387891422,0.154191942
38,7068.417609,37.24647037,55648.90437,0.008147575,5.588584391,0.522056774
39,2370.442947,41.2,44715,0,2.183498724,0.406898712
40,3607.344698,41.9,50979,0.005684934,3.564453895,0.426370083
41,6104.557053,39.05869706,53559.96262,0,6.192208258,0.440449076
42,5892.655302,37.33923321,51043.26535,0.00246264,5.992651446,0.535043753
43,3255,48.2,80704,0,2.827208485,0.130361198
44,4140,49.2,82322,0.122213623,2.542043364,1.156955634
45,3895,49.1,88466,0.0325903,3.421981452,0.36664087
46,6069.460886,37.02233272,46873.22616,0,5.62389349,0.219070518
47,4278.282656,35.7,42837,0,4.059369374,0.065226162
48,1415.634074,35.7,42837,0,1.34319821,0.02158258
49,2916.622384,35.7,42837,0,2.767383208,0.04446646
50,2106.765635,32.6,47671,0.001738231,1.971153914,0.013905848
51,3480.432885,32.6,47671,0.002871604,3.256398713,0.02297283
52,1674.969483,32.6,47671,0.001381969,1.56715232,0.011055748
53,2612.831997,32.6,47671,0.002155772,2.444644973,0.017246173
54,197.4945862,40.1,110336,0,0.172589159,0.006488314
55,490.29828,40.1,110336,0,0.42846829,0.01610783
56,156.1175641,40.1,110336,0,0.136430064,0.00512895
57,396.0895697,40.1,110336,0,0.346139947,0.01301278
58,1675.391884,38.4,80626,0,1.742647983,0.019531547
59,1577.897912,38.4,80626,0,1.641240261,0.018394972
60,2077.781694,40.8,92105,0,1.966875638,0
61,1531.1912,40.8,92105,0,1.449460585,0
62,4900,38.3,81802,0,4.815216757,0
63,4560.076884,32.9,85148,0,4.439997967,0.008377355
64,4309.923116,32.9,85148,0,4.196431412,0.007917795
65,4124.517607,33.8,82950,0.003828518,4.402795612,0.14739794
66,5137.992995,33.8,82950,0.00476926,5.484649398,0.183616523
67,5485,39.5,49948,0.008147575,4.26932924,1.059184735
68,4495,39.1,40909,0.024442725,1.425825605,1.996155847
69,638.5994437,38.4,28880,0.004795426,0.297316388,0.15345362
