id,address,lat,lng,rate,carpark_type,carpark_type_str,is_ttc,rate_half_hour,capacity,max_height,payment_methods/0,payment_methods/1,payment_methods/2,payment_options/0,payment_options/1,payment_options/2,rate_details/periods/0/title,rate_details/periods/0/rates/0/when,rate_details/periods/0/rates/0/rate,rate_details/periods/0/rates/1/when,rate_details/periods/0/rates/1/rate,rate_details/periods/0/notes/0,rate_details/periods/0/notes/1,rate_details/periods/0/notes/2,rate_details/periods/0/notes/3,enable_streetview,streetview_lat,streetview_long,streetview_yaw,streetview_pitch,streetview_zoom,rate_details/periods/1/title,rate_details/periods/1/rates/0/when,rate_details/periods/1/rates/0/rate,rate_details/periods/1/rates/1/when,rate_details/periods/1/rates/1/rate,rate_details/periods/1/notes/0,rate_details/periods/1/notes/1,rate_details/periods/1/notes/2,rate_details/periods/1/notes/3,rate_details/periods/1/notes/4,rate_details/periods/1/notes/5,rate_details/periods/1/notes/6,payment_options/3,rate_details/periods/2/title,rate_details/periods/2/rates/0/when,rate_details/periods/2/rates/0/rate,rate_details/periods/2/rates/1/when,rate_details/periods/2/rates/1/rate,rate_details/periods/2/notes/0,rate_details/periods/2/notes/1,rate_details/periods/2/notes/2,rate_details/periods/2/notes/3,rate_details/addenda/0,rate_details/addenda/1,rate_details/periods/0/rates/2/when,rate_details/periods/0/rates/2/rate,rate_details/periods/2/rates/2/when,rate_details/periods/2/rates/2/rate,rate_details/periods/3/title,rate_details/periods/3/rates/0/when,rate_details/periods/3/rates/0/rate,rate_details/periods/3/rates/1/when,rate_details/periods/3/rates/1/rate,rate_details/periods/4/title,rate_details/periods/4/rates/0/when,rate_details/periods/4/rates/0/rate,rate_details/periods/4/rates/1/when,rate_details/periods/4/rates/1/rate
1,20 Charles Street,43.668997,-79.385093,$2.00 / Half Hour,garage,Garage,false,2.00,430,2.00,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Auto Express Pay Stations,Credit Card at Entry & Exit,Customer Assistance Booth,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$12.00,Night Maximum (6pm - 7am),$6.00,Unreserved Monthly permit price - $220,Permits currently available,Inquires at monthlypermits@greenp.com or,416-393-7348,yes,43.668822,-79.385262,321.21,-12.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13 Isabella Street,43.667577,-79.384707,$2.25 / Half Hour,surface,Surface,false,2.25,33,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Saturday,Day Maximum (7am - 6pm),NO MAXIMUM,Night Maximum (6pm - 7am),$7.00,,,,,yes,43.667735,-79.384966,115.84,7.51,0,Sunday & Holidays,Day Maximum (7am - 6pm),$6.00,Night Maximum (6pm - 7am),$7.00,"Unreserved Monthly permit price - $150
Permits currently not available 
Inquires at monthlypermits@greenp.com or
416-393-7348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15 Wellesley Street East,43.664837,-79.383591,$2.00 / Half Hour,surface,Surface,false,2.00,135,0.00,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Pay at Exit Lane Stations,Credit Card at Entry & Exit,Cashier,Monday to Saturday,Day Maximum (7am - 6pm),$14.00,Night Maximum (6pm - 7am),$6.00,,,,,yes,43.665083,-79.383807,138.09,-4.68,0,Sunday & Holidays,Maximum (7am - 7am),$5.00,,,"Unreserved Monthly permit price - $240
Permits currently available 
Inquires at monthlypermits@greenp.com or
416-393-7348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,21 Pleasant Blvd.,43.687092,-79.392850,$1.75 / Half Hour,garage,Garage,false,1.75,557,1.90,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Auto Express Pay Stations,Credit Card at Entry & Exit,Customer Assistance Booth,Monday - Saturday & Holidays,Day Maximum (7am - 6pm),$10.00,Night Maximum (6pm - 7am),$5.00,,,,,yes,43.686491,-79.392056,280.08,-13.18,0,Sunday,Maximum (Sunday 7am - Monday 7am),$5.00,,,Unreserved Monthly permit price - $170,Permits currently available,Inquires at monthlypermits@greenp.com or,416-393-7348,Unreserved Monthly permit price - $170,Permits currently available,Inquires at 416-393-7348,,,,,,,,,,,,,,,,,,,,,,,,,,
12,30 Alvin Avenue,43.689202,-79.393269,$2.50 / Half Hour,surface,Surface,false,2.50,188,2.67,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Pay at Exit Lane Stations,Credit Card at Entry & Exit,Cashier,Monday - Saturday,Day Maximum (6am - 6pm),$20.00,Night Maximum (6pm - 6am),$5.00,,,,,yes,43.688967,-79.392832,330.84,1.32,0,Sunday & Holidays,Maximum (6am - 6am),$5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20 Delisle Avenue,43.689000,-79.395586,$2.00 / Half Hour,garage,Garage,false,2.00,238,2.10,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Auto Express Pay Stations,Credit Card at Entry & Exit,Pay and Display,Monday - Saturday & Holidays (Attended),Day Maximum (7am - 6pm),$13.00,Night Maximum (6pm - 7am),$5.00,,,,,yes,43.688961,-79.395299,280.73,4.22,0,Sunday (Attended),Maximum (Sunday 7am - Monday 7am),$5.00,,,,,,,,,,Customer Assistance Booth,Monday - Sunday & Holidays (Unattended),Day Maximum (7am - 6pm),2 HOUR MAXIMUM,Night Maximum (6pm - 7am),$5.00,,,,,,,,,,,,,,,,,,,,
15,37 Yorkville Avenue,43.671286,-79.389331,$2.00 / Half Hour,garage,Garage,false,2.00,1036,1.90,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Auto Express Pay Stations,Credit Card at Entry & Exit,Customer Assistance Booth,Monday - Saturday & Holidays,Day Maximum (7am - 6pm),$12.00,Night Maximum (6pm - 7am),$6.00,,,,,yes,43.671546,-79.389275,212.41,-8.00,0,Sunday,Maximum (Sunday 7am - Monday 7am),$6.00,,,Unreserved Monthly permit price - $240,Permits currently available,Inquires at 416-393-7348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,670 Pape Avenue,43.678146,-79.344774,$1.00 / Half Hour,surface,Surface,false,1.00,76,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$5.00,Night Maximum (6pm - 7am),$4.00,Unreserved Monthly permit price - $90,Permits currently available,Inquires at monthlypermits@greenp.com or,416-393-7348,yes,43.678215,-79.344574,226.03,4.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,351 Keele Street,43.664581,-79.463993,$1.00 / Half Hour,surface,Surface,false,1.00,77,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$4.00,Night Maximum (6pm - 7am),$3.00,Unreserved Monthly permit price - $65,Permits currently available,Inquires at monthlypermits@greenp.com or,416-393-7348,yes,43.664670,-79.464226,2.66,0.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,385 Pacific Avenue,43.664736,-79.468124,$1.00 / Half Hour,surface,Surface,false,1.00,71,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$5.00,Night Maximum (6pm - 7am),$3.00,Unreserved Monthly permit price - $55,Permits currently available,Inquires at monthlypermits@greenp.com or,416-393-7348,yes,43.665090,-79.468421,131.87,3.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,101 Cedarvale Avenue,43.686541,-79.310957,$1.00 / Half Hour,surface,Surface,false,1.00,37,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$4.00,Night Maximum (6pm - 7am),$3.00,Unreserved Monthly permit price - $50,Permits currently available,Inquires at monthlypermits@greenp.com or,416-393-7348,yes,43.686621,-79.311177,10.90,-6.20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,72 Amroth Avenue,43.685377,-79.311708,$1.00 / Half Hour,surface,Surface,false,1.00,54,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$4.00,Night Maximum (6pm - 7am),$3.00,Unreserved Monthly permit price - $50,Permits currently available,Inquires at monthlypermits@greenp.com or,416-393-7348,yes,43.685473,-79.311475,200.16,9.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,37 Queen Street East,43.652705,-79.377218,$2.50 / Half Hour,garage,Garage,false,2.50,645,2.00,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Credit Card at Entry & Exit,Cashier,,Monday - Friday,Day Maximum (7am - 6pm),$20.00,Night Maximum (6pm - 7am),$6.00,,,,,yes,43.652849,-79.377225,135.41,2.66,0,Saturday - Sunday & Holidays,Day Maximum (7am - 6pm),$6.00,Night Maximum (6pm - 7am),$6.00,Unreserved Monthly permit price - $360,"Permits currently unavailable 
Inquires at monthlypermits@greenp.com or
416-393-7348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
