FID,OID_,FID_,Lat,Long,Lat1,Long1,Shape_Leng,FID_1,VIN,Address,Date,DateD,DateH,Lat_1,Long_1,t2,t2D,t2H,VIN1,Address1,Date1,Date1D,Date1H,Lat1_1,Long1_1,t21,t21D,t21H
0,0,1,43.641590000000001,-79.447329999999994,43.643990000000002,-79.446439999999996,382.252491749000000,1,BNYB048,"80-82 Roncesvalles Ave, Toronto, ON M6R 2K7",10/15/2017 0:01,15,0,43.641590000000001,-79.447329999999994,10/15/2017 8:42,15,8,BNYB048,"157 Garden Ave, Toronto, ON M6R 1H8",10/15/2017 8:47,15,8,43.643990000000002,-79.446439999999996,10/15/2017 16:00,15,16
1,0,2,43.643990000000002,-79.446439999999996,43.700730000000000,-79.427859999999995,8974.165994189999800,2,BNYB048,"157 Garden Ave, Toronto, ON M6R 1H8",10/15/2017 8:47,15,8,43.643990000000002,-79.446439999999996,10/15/2017 16:00,15,16,BNYB048,"912 Eglinton Ave W, Toronto, ON M6C 2C2",10/15/2017 16:57,15,16,43.700730000000000,-79.427859999999995,10/15/2017 18:30,15,18
2,0,3,43.636910000000000,-79.409719999999993,43.637790000000003,-79.401550000000000,919.497652592000010,3,BNYB050,Green P-800 Fleet St(No Double Parking),10/15/2017 0:01,15,0,43.636910000000000,-79.409719999999993,10/15/2017 10:12,15,10,BNYB050,The Garrison-169 Fort York BLVD (1 car/space only),10/15/2017 11:32,15,11,43.637790000000003,-79.401550000000000,10/15/2017 13:39,15,13
3,0,4,43.637790000000003,-79.401550000000000,43.646329999999999,-79.394549999999995,1527.408864739999900,4,BNYB050,The Garrison-169 Fort York BLVD (1 car/space only),10/15/2017 11:32,15,11,43.637790000000003,-79.401550000000000,10/15/2017 13:39,15,13,BNYB050,"7 Oxley St, Toronto, ON M5V",10/15/2017 12:18,15,12,43.646329999999999,-79.394549999999995,10/15/2017 12:44,15,12
4,0,5,43.646329999999999,-79.394549999999995,43.663730000000001,-79.401030000000006,2772.652330620000200,5,BNYB050,"7 Oxley St, Toronto, ON M5V",10/15/2017 12:18,15,12,43.646329999999999,-79.394549999999995,10/15/2017 12:44,15,12,BNYB050,UofT-42 Harbord St-car2go park signs (enter alley),10/15/2017 14:29,15,14,43.663730000000001,-79.401030000000006,10/15/2017 15:19,15,15
5,0,6,43.663730000000001,-79.401030000000006,43.687840000000001,-79.351799999999997,6618.437502640000300,6,BNYB050,UofT-42 Harbord St-car2go park signs (enter alley),10/15/2017 14:29,15,14,43.663730000000001,-79.401030000000006,10/15/2017 15:19,15,15,BNYB050,"70-80 Gowan Ave, East York, ON M4K 2E4",10/15/2017 16:10,15,16,43.687840000000001,-79.351799999999997,10/15/2017 17:09,15,17
6,0,7,43.687840000000001,-79.351799999999997,43.684890000000003,-79.316410000000005,3965.684430070000000,7,BNYB050,"70-80 Gowan Ave, East York, ON M4K 2E4",10/15/2017 16:10,15,16,43.687840000000001,-79.351799999999997,10/15/2017 17:09,15,17,BNYB050,"1909 Danforth Ave, Toronto, ON M4C 1J4",10/15/2017 18:05,15,18,43.684890000000003,-79.316410000000005,10/15/2017 18:30,15,18
7,0,8,43.663310000000003,-79.366860000000003,43.651930000000000,-79.356499999999997,2096.678559909999900,8,BNYB053,"13 Spruce St, Toronto, ON M5A 2H6",10/15/2017 0:22,15,0,43.663310000000003,-79.366860000000003,10/15/2017 1:12,15,1,BNYB053,"455 Cooperage St, Toronto, ON M5A 1G9",10/15/2017 1:27,15,1,43.651930000000000,-79.356499999999997,10/15/2017 2:47,15,2
8,0,9,43.651930000000000,-79.356499999999997,43.664819999999999,-79.446550000000002,10218.648191200000000,9,BNYB053,"455 Cooperage St, Toronto, ON M5A 1G9",10/15/2017 1:27,15,1,43.651930000000000,-79.356499999999997,10/15/2017 2:47,15,2,BNYB053,"277 Lappin Ave, Toronto, ON M6H 1Y9",10/15/2017 3:12,15,3,43.664819999999999,-79.446550000000002,10/15/2017 10:32,15,10
9,0,10,43.664819999999999,-79.446550000000002,43.661290000000001,-79.443920000000006,617.074450347000040,10,BNYB053,"277 Lappin Ave, Toronto, ON M6H 1Y9",10/15/2017 3:12,15,3,43.664819999999999,-79.446550000000002,10/15/2017 10:32,15,10,BNYB053,"586-640 Lansdowne Ave, Toronto, ON M6H 3Y7",10/15/2017 12:13,15,12,43.661290000000001,-79.443920000000006,10/15/2017 12:44,15,12
