Name,Descriptio,GTA06,Fake Capacity,GreenP,Capacity 
Green P-15 Wellesley St. e(No Double Parking),Capacity (used/total) : 0/0,40,0,135,135
Green P-37 Yorkville Ave (garage),Capacity (used/total) : 4/0,45,0,1036,1036
Green P-25 Dundas St E(no double parking),Capacity (used/total) : 7/0,37,0,265,265
Green P-20 St. Andrew St(no double parking),Capacity (used/total) : 3/0,75,0,450,450
Green P-35 Bellevue Ave(no double parking),Capacity (used/total) : 1/0,75,0,91,91
Green P-35 Erindale Ave(no double parking),Capacity (used/total) : 8/0,279,0,93,93
Green P-10 Portland St(No Double Parking),Capacity (used/total) : 1/0,78,0,37,37
Green P-323 Richmond St E(no double parking),Capacity (used/total) : 3/0,25,0,20,20
Green P-363 Adelaide St W(no double parking),Capacity (used/total) : 6/0,66,0,23,23
Green P-105 Spadina Ave(No Double Parking),Capacity (used/total) : 2/0,66,0,18,18
UofT-42 Harbord St-car2go park signs (enter alley),Capacity (used/total) : 2/4,70,4,,4
Green P-121 St Patrick St(No Double Parking),Capacity (used/total) : 1/0,67,0,36,36
"Green P-31 Parliament St(surface lot, not garage)",Capacity (used/total) : 5/0,15,0,120,120
TargetPark-88 Isabella St (no double parking),Capacity (used/total) : 1/4,41,4,,4
Targetpark-539 King St W (1 Spot),Capacity (used/total) : 3/1,78,1,,1
Mercedes Benz Downtown (4 Spaces at front),Capacity (used/total) : 2/4,17,4,,4
"Mercedes-Benz Midtown (1 spot in back, 1 car only)",Capacity (used/total) : 5/1,220,1,,1
Impark-47 Richmond St E (dedicated spaces only),Capacity (used/total) : 3/5,36,5,,5
"Impark-65 Navy Wharf(underground garage, 5 spaces)",Capacity (used/total) : 10/5,64,5,,5
"Impark-22 Fort York(garage under sobeys, 5 spaces)",Capacity (used/total) : 4/5,79,5,,5
Green P-800 Fleet St(No Double Parking),Capacity (used/total) : 8/0,84,0,132,132
Four Points by Sheraton-American Drive ($7.50 fee),Capacity (used/total) : 2/8,3710,8,,8
"CVPA - 49 Geary Ave(on street, 3 cars only)",Capacity (used/total) : 1/3,167,3,,3
"CVPA - 1094 Davenport Rd(on street, 3 cars only)",Capacity (used/total) : 0/3,170,3,,3
The Garrison-169 Fort York BLVD (1 car/space only),Capacity (used/total) : 5/2,84,2,,2
On street-18 Emily St(extra parking in garage),Capacity (used/total) : 6/13,57,3,,3
Unit Park-73 The Esplanade(surface lot),Capacity (used/total) : 2/6,34,6,,6
Evergreen Brickworks (Northeast parking lot),Capacity (used/total) : 0/6,283,6,,6
Starlight -155 Wellesley St E (rsvd spaces only),Capacity (used/total) : 1/6,22,6,,6
Starlight-80 Wellesley St E (behind building),Capacity (used/total) : 2/2,41,2,,2
Where I Park-480 Adelaide St W(3 rsvd spaces),Capacity (used/total) : 5/3,77,3,,3
Where I Park-1941 Yonge St(surface lot),Capacity (used/total) : 4/6,209,6,,6
Targetpark-Loblaws Queens Quay E(enter off Jarvis),Capacity (used/total) : 0/6,31,6,,6
GreenP-1155 King st W(no double parking),Capacity (used/total) : 3/25,89,5,,5
TargetPark-249 Queens Quay W(Radisson Garage),Capacity (used/total) : 4/4,62,4,,4
CVPA 96 Cosburn Ave (on street only),Capacity (used/total) : 1/3,282,3,,3
CVPA-134 Sterling Rd (on street only),Capacity (used/total) : 1/3,107,3,,3
