TTS Zone,Pop,AgeAvg,IncMed,PropDet,PropHigh,PropLow,Total Seconds Available,Availability ,Designated Car2goSpots,Trip Demand
0,1728.836015,38.9,75648,0.070895522,0,0.929104478,2707,0.395257494,,1
15,923.3765996,41.4,63104,0,0.754232627,0.133323949,1950713,284.8296757,120,111
1,1676.358553,42.3,144384,0.257163832,0.405747379,0.491468656,1991784,290.8265802,,114
17,4530,35.1,57109,0.008147575,2.362796717,1.205841083,1070030,156.2384102,4,76
3,713.641447,42.3,144384,0.109477038,0.172730438,0.209222784,22435,3.275804167,,6
22,7605,45.9,51190,0.0325903,5.377399425,1.808761625,1055338,154.0931856,6,77
5,149.1215472,39.3,108186,0.006125944,0,0.093931147,117964,17.22429074,,19
25,5434.474346,37.5,80441,0.004383939,4.410242913,0.999538155,1049553,153.2484997,20,81
6,313.9633578,39.3,108186,0.012897681,0,0.197764435,831356,121.3888767,,36
31,1025.921303,40.8,92105,0,0.971160552,0,321836,46.99227591,6,28
10,131.915095,39.3,108186,0.0054191,0,0.083092863,176913,25.83161768,,13
34,3036.710204,38.4,80626,0,3.158614389,0.035401656,1115698,162.906537,6,69
12,1497.495851,41.4,63104,0,1.223184809,0.216219537,,,,
36,2459.195153,42.6,91097,0,2.356267789,0.076537701,889811,129.9240732,5,108
13,849.8936376,41.4,63104,0,0.694210262,0.122713935,,,,
37,2631.582391,38.3,53472,0,2.387891422,0.154191942,1200737,175.323346,265,82
14,1317.11569,41.4,63104,0,1.075846656,0.190174914,272286,39.75732621,,18
16,4665.525654,37.5,80441,0.003763636,3.786217422,0.858108919,263613,38.49095449,,38
18,6275,35.6,34848,0,3.55234265,0.953266262,112070,16.36368946,,15
19,2370,45.9,81664,0.097770899,0.122213623,1.735433451,457821,66.84786894,,18
20,1695,44.9,125184,0.130361198,0,1.197693508,163345,23.85051178,,9
21,18610,38.68760727,47236.39518,0.008147575,14.41305997,1.148808059,436444,63.72654664,,21
23,5360,43.6,25736,0.089623324,2.036893721,2.183550069,266639,38.93279016,,29
24,5045,40.6,22208,0.008147575,3.193849355,1.246578958,380014,55.48702674,,24
26,1595.902048,41.4,63104,0,1.303564976,0.230428152,876930,128.0432783,,70
27,490.3399153,41.4,63104,0,0.400519531,0.070798907,,,,
29,721.8916546,41.4,63104,0,0.589655661,0.104232061,77666,11.34025435,,3
28,503.9846035,41.4,63104,0,0.411664787,0.072769028,,,,
30,1815.323653,40.8,92105,0,1.718426858,0,926,0.135208142,,1
32,798.1245139,40.8,92105,0,0.755522906,0,30597,4.467563187,,1
35,1205.804847,42.6,91097,0,1.155336987,0.037528348,9106,1.329595398,,7
33,876.6576358,40.8,92105,0,0.829864154,0,,,,
38,7068.417609,37.24647037,55648.90437,0.008147575,5.588584391,0.522056774,309924,45.25296772,,30
39,2370.442947,41.2,44715,0,2.183498724,0.406898712,122709,17.91712296,,9
40,3607.344698,41.9,50979,0.005684934,3.564453895,0.426370083,547722,79.97459372,135,48
41,6104.557053,39.05869706,53559.96262,0,6.192208258,0.440449076,1055976,154.1863419,6,83
42,5892.655302,37.33923321,51043.26535,0.00246264,5.992651446,0.535043753,303327,44.28971922,,31
43,3255,48.2,80704,0,2.827208485,0.130361198,2125,0.310277863,,1
44,4140,49.2,82322,0.122213623,2.542043364,1.156955634,159186,23.24324324,,11
45,3895,49.1,88466,0.0325903,3.421981452,0.36664087,921843,134.6011652,1036,47
46,6069.460886,37.02233272,46873.22616,0,5.62389349,0.219070518,123417,18.02050024,,8
47,4278.282656,35.7,42837,0,4.059369374,0.065226162,33506,4.89231533,,8
48,1415.634074,35.7,42837,0,1.34319821,0.02158258,902,0.131703827,,1
53,2612.831997,32.6,47671,0.002155772,2.444644973,0.017246173,15450,2.25590258,,4
55,490.29828,40.1,110336,0,0.42846829,0.01610783,4087,0.596755589,,2
57,396.0895697,40.1,110336,0,0.346139947,0.01301278,1088159,158.8854819,3,73
49,2916.622384,35.7,42837,0,2.767383208,0.04446646,,,,
61,1531.1912,40.8,92105,0,1.449460585,0,0,0,,1
