,VIN,Address,Date,Lat,Long,t2,VIN1,Address1,Date1,Lat1,Long1,t21
0,BNYB045,"122-124 Glencrest Blvd, East York, ON M4B 1L8",2017-05-10 21:21:00,43.70818,-79.29613,2017-06-10 09:27:00,BNYB045,"54-56 Cedarcrest Blvd, East York, ON M4B 2P1",2017-06-10 10:08:00,43.70319,-79.29964,2017-06-10 10:08:00
1,BNYB045,"54-56 Cedarcrest Blvd, East York, ON M4B 2P1",2017-06-10 10:08:00,43.70319,-79.29964,2017-06-10 10:08:00,BNYB045,"3 Curran Dr, Toronto, ON M4B",2017-06-10 10:13:00,43.70275,-79.30167,2017-06-10 13:20:00
2,BNYB045,"3 Curran Dr, Toronto, ON M4B",2017-06-10 10:13:00,43.70275,-79.30167,2017-06-10 13:20:00,BNYB045,"194 Rexleigh Dr, East York, ON M4B 2N6",2017-06-10 13:50:00,43.70505,-79.30617,2017-06-10 17:07:00
4,BNYB048,Green P-35 Erindale Ave(no double parking),2017-05-10 23:52:00,43.67732,-79.35746999999999,2017-06-10 07:42:00,BNYB048,"60-64 Queensdale Ave, East York, ON M4J 1Y3",2017-06-10 07:57:00,43.686809999999994,-79.33139,2017-06-10 16:37:00
5,BNYB048,"60-64 Queensdale Ave, East York, ON M4J 1Y3",2017-06-10 07:57:00,43.686809999999994,-79.33139,2017-06-10 16:37:00,BNYB048,"10-26 Hogarth Ave, Toronto, ON M4K",2017-06-10 17:07:00,43.673629999999996,-79.35501,2017-06-10 17:07:00
7,BNYB050,"49 Ontario St, Toronto, ON M5A 2V1",2017-05-10 21:21:00,43.65309,-79.3665,2017-05-10 21:21:00,BNYB050,"516 McRoberts Ave, York, ON M6E 4R4",2017-05-10 22:02:00,43.68841,-79.459,2017-06-10 06:15:00
8,BNYB050,"516 McRoberts Ave, York, ON M6E 4R4",2017-05-10 22:02:00,43.68841,-79.459,2017-06-10 06:15:00,BNYB050,"8 Margueretta St, Toronto, ON M6K 2P3",2017-06-10 06:52:00,43.65028,-79.43711,2017-06-10 11:39:00
9,BNYB050,"8 Margueretta St, Toronto, ON M6K 2P3",2017-06-10 06:52:00,43.65028,-79.43711,2017-06-10 11:39:00,BNYB050,"120-162 Villiers St, Toronto, ON M5A 1B1",2017-06-10 12:35:00,43.649359999999994,-79.3484,2017-06-10 14:10:00
10,BNYB050,"120-162 Villiers St, Toronto, ON M5A 1B1",2017-06-10 12:35:00,43.649359999999994,-79.3484,2017-06-10 14:10:00,BNYB050,"11 Anderson Ave, Toronto, ON M5P 1H2",2017-06-10 14:41:00,43.70409,-79.40113000000001,2017-06-10 17:07:00
12,BNYB053,"44 Wanda Rd, Toronto, ON M6P 1C6",2017-05-10 21:21:00,43.65826,-79.45742,2017-05-10 22:57:00,BNYB053,"59 Parkway Ave, Toronto, ON M6R 1T6",2017-05-10 23:12:00,43.65071,-79.44752,2017-05-10 23:57:00
13,BNYB053,"59 Parkway Ave, Toronto, ON M6R 1T6",2017-05-10 23:12:00,43.65071,-79.44752,2017-05-10 23:57:00,BNYB053,"3 Marmaduke St, Toronto, ON M6R 2M9",2017-06-10 00:02:00,43.65063,-79.45085999999999,2017-06-10 06:52:00
14,BNYB053,"3 Marmaduke St, Toronto, ON M6R 2M9",2017-06-10 00:02:00,43.65063,-79.45085999999999,2017-06-10 06:52:00,BNYB053,"666 Huron St, Toronto, ON M5R 2R9",2017-06-10 07:32:00,43.674640000000004,-79.40454,2017-06-10 09:27:00
15,BNYB053,"666 Huron St, Toronto, ON M5R 2R9",2017-06-10 07:32:00,43.674640000000004,-79.40454,2017-06-10 09:27:00,BNYB053,"506 Huron St, Toronto, ON M5R",2017-06-10 13:10:00,43.669309999999996,-79.40245999999999,2017-06-10 13:55:00
16,BNYB053,"506 Huron St, Toronto, ON M5R",2017-06-10 13:10:00,43.669309999999996,-79.40245999999999,2017-06-10 13:55:00,BNYB053,"250 St Clair Ave W, Toronto, ON M4V 1R6",2017-06-10 14:20:00,43.6857,-79.40706,2017-06-10 15:06:00
17,BNYB053,"250 St Clair Ave W, Toronto, ON M4V 1R6",2017-06-10 14:20:00,43.6857,-79.40706,2017-06-10 15:06:00,BNYB053,"159-161 Howland Ave, Toronto, ON M5R 3B7",2017-06-10 16:32:00,43.67103,-79.41076,2017-06-10 16:42:00
19,BNYB054,"Impark-22 Fort York(garage under sobeys, 5 spaces)",2017-05-10 21:21:00,43.64066,-79.39461,2017-05-10 22:18:00,BNYB054,"Impark-65 Navy Wharf(underground garage, 5 spaces)",2017-05-10 22:23:00,43.64014,-79.39186,2017-06-10 17:02:00
21,BNYB056,"30-92 Balmoral Ave, Toronto, ON M4V 1J4",2017-05-10 21:21:00,43.6857,-79.3944,2017-06-10 08:27:00,BNYB056,"21 A Pleasant Blvd, Toronto, ON M4T 1K2",2017-06-10 09:17:00,43.68716,-79.39272,2017-06-10 15:26:00
22,BNYB056,"21 A Pleasant Blvd, Toronto, ON M4T 1K2",2017-06-10 09:17:00,43.68716,-79.39272,2017-06-10 15:26:00,BNYB056,"44 Hazelton Ave, Toronto, ON M5R 2E2",2017-06-10 16:42:00,43.672129999999996,-79.39363,2017-06-10 16:52:00
24,BNYB057,"21 Davies Ave, Toronto, ON M4M 2A9",2017-05-10 21:21:00,43.6591,-79.35378,2017-06-10 07:57:00,BNYB057,GreenP-1155 King st W(no double parking),2017-06-10 08:57:00,43.63778,-79.42401,2017-06-10 10:08:00
25,BNYB057,GreenP-1155 King st W(no double parking),2017-06-10 08:57:00,43.63778,-79.42401,2017-06-10 10:08:00,BNYB057,"30 Western Battery Rd, Toronto, ON M6K 3P1",2017-06-10 10:18:00,43.639959999999995,-79.41255,2017-06-10 17:07:00
27,BNYB058,"312 Warren Rd, Toronto, ON M5P 2M8",2017-05-10 21:21:00,43.70214,-79.41389000000001,2017-06-10 01:12:00,BNYB058,"255-269 Glenlake Ave, Toronto, ON M6P",2017-06-10 01:53:00,43.65769,-79.46466,2017-06-10 07:02:00
28,BNYB058,"255-269 Glenlake Ave, Toronto, ON M6P",2017-06-10 01:53:00,43.65769,-79.46466,2017-06-10 07:02:00,BNYB058,Green P-25 Dundas St E(no double parking),2017-06-10 07:42:00,43.656000000000006,-79.37993,2017-06-10 12:29:00
29,BNYB058,Green P-25 Dundas St E(no double parking),2017-06-10 07:42:00,43.656000000000006,-79.37993,2017-06-10 12:29:00,BNYB058,"114-142 Pacific Ave, Toronto, ON M6P",2017-06-10 13:05:00,43.65721,-79.46513,2017-06-10 13:50:00
30,BNYB058,"114-142 Pacific Ave, Toronto, ON M6P",2017-06-10 13:05:00,43.65721,-79.46513,2017-06-10 13:50:00,BNYB058,"1-25 Margdon Rd, Toronto, ON M6P",2017-06-10 14:05:00,43.65233,-79.4742,2017-06-10 16:47:00
32,BNYB059,"10 Edmund Ave, Toronto, ON M4V 1H3",2017-05-10 21:21:00,43.68241,-79.40026,2017-06-10 06:52:00,BNYB059,"578 Wellington St W, Toronto, ON M5V 2X5",2017-06-10 07:12:00,43.64249,-79.40341,2017-06-10 07:52:00
33,BNYB059,"578 Wellington St W, Toronto, ON M5V 2X5",2017-06-10 07:12:00,43.64249,-79.40341,2017-06-10 07:52:00,BNYB059,"31 Greenwood Ave, Toronto, ON M4L 2P5",2017-06-10 08:22:00,43.66576,-79.32585999999999,2017-06-10 12:29:00
34,BNYB059,"31 Greenwood Ave, Toronto, ON M4L 2P5",2017-06-10 08:22:00,43.66576,-79.32585999999999,2017-06-10 12:29:00,BNYB059,"43 Hiltz Ave, Toronto, ON M4L 2N6",2017-06-10 14:05:00,43.66545,-79.3267,2017-06-10 17:07:00
36,BNYB061,"85 Ava Rd, York, ON M6C 1V7",2017-05-10 21:21:00,43.69763,-79.42577,2017-06-10 12:19:00,BNYB061,"427 Quebec Ave, Toronto, ON M6P 2V5",2017-06-10 12:50:00,43.664190000000005,-79.47152,2017-06-10 16:52:00
38,BNYB063,Starlight -155 Wellesley St E (rsvd spaces only),2017-05-10 21:52:00,43.66604,-79.37546999999999,2017-05-10 22:52:00,BNYB063,Impark-47 Richmond St E (dedicated spaces only),2017-05-10 23:07:00,43.65218,-79.37617,2017-05-10 23:17:00
39,BNYB063,Impark-47 Richmond St E (dedicated spaces only),2017-05-10 23:07:00,43.65218,-79.37617,2017-05-10 23:17:00,BNYB063,The Garrison-169 Fort York BLVD (1 car/space only),2017-05-10 23:32:00,43.63779,-79.40155,2017-06-10 08:52:00
40,BNYB063,The Garrison-169 Fort York BLVD (1 car/space only),2017-05-10 23:32:00,43.63779,-79.40155,2017-06-10 08:52:00,BNYB063,"326-330 Campbell Ave, Toronto, ON M6P 3V9",2017-06-10 09:58:00,43.666579999999996,-79.45031,2017-06-10 17:07:00
42,BNYB069,Evergreen Brickworks (Northeast parking lot),2017-05-10 21:21:00,43.68463,-79.36344,2017-06-10 17:07:00,BNYB069,Starlight-80 Wellesley St E (behind building),2017-05-10 21:57:00,43.6663,-79.38019,2017-06-10 08:27:00
44,BNYB071,"79 Keele St, Toronto, ON M6P 2J8",2017-05-10 21:21:00,43.65702,-79.46091,2017-05-10 21:26:00,BNYB071,"106 Chelsea Ave, Toronto, ON M6P 1C3",2017-05-10 21:37:00,43.65772,-79.45598000000001,2017-06-10 03:54:00
45,BNYB071,"106 Chelsea Ave, Toronto, ON M6P 1C3",2017-05-10 21:37:00,43.65772,-79.45598000000001,2017-06-10 03:54:00,BNYB071,"60-62 Miller St, Toronto, ON M6N 2Z9",2017-06-10 04:09:00,43.66878,-79.46003,2017-06-10 17:07:00
47,BNYB072,"10 Summit Ave, York, ON M6E 1X4",2017-05-10 21:21:00,43.68696,-79.4588,2017-06-10 07:07:00,BNYB072,"330-340 Lansdowne Ave, Toronto, ON M6H 3Y1",2017-06-10 07:32:00,43.65245,-79.44077,2017-06-10 16:57:00
49,BNYB074,"42 Coleridge Ave, East York, ON M4C 4H5",2017-05-10 21:21:00,43.68822,-79.31265,2017-05-10 22:18:00,BNYB074,"1982 Danforth Ave, Toronto, ON M4C 1J6",2017-05-10 22:23:00,43.68529,-79.31468000000001,2017-06-10 05:55:00
50,BNYB074,"1982 Danforth Ave, Toronto, ON M4C 1J6",2017-05-10 22:23:00,43.68529,-79.31468000000001,2017-06-10 05:55:00,BNYB074,"63 Harvard Ave, Toronto, ON M6R 1C7",2017-06-10 08:32:00,43.64038,-79.44564,2017-06-10 08:57:00
51,BNYB074,"63 Harvard Ave, Toronto, ON M6R 1C7",2017-06-10 08:32:00,43.64038,-79.44564,2017-06-10 08:57:00,BNYB074,"146 Harrison St, Toronto, ON M6J 2A4",2017-06-10 09:17:00,43.65074,-79.42436,2017-06-10 10:03:00
52,BNYB074,"146 Harrison St, Toronto, ON M6J 2A4",2017-06-10 09:17:00,43.65074,-79.42436,2017-06-10 10:03:00,BNYB074,Green P-37 Yorkville Ave (garage),2017-06-10 10:48:00,43.67129,-79.38933,2017-06-10 16:12:00
54,BNYB075,"83 Elmsthorpe Ave, Toronto, ON M5P 2L8",2017-05-10 21:21:00,43.70303,-79.41048,2017-05-10 22:28:00,BNYB075,Where I Park-1941 Yonge St(surface lot),2017-05-10 22:41:00,43.69895,-79.39653,2017-06-10 05:35:00
56,BNYB077,"1487 Dundas St E, Toronto, ON M4M 1T1",2017-05-10 21:21:00,43.66653,-79.33236,2017-06-10 09:53:00,BNYB077,"574 Wellington St W, Toronto, ON M5V 2X5",2017-06-10 10:38:00,43.64243,-79.40324,2017-06-10 11:44:00
58,BNYB079,"77 Lee Ave, Toronto, ON M4E 2P1",2017-05-10 21:21:00,43.67011,-79.29746,2017-05-10 22:47:00,BNYB079,"1858 Queen St E, Toronto, ON M4L 1H1",2017-05-10 22:57:00,43.66847,-79.30731,2017-06-10 07:12:00
59,BNYB079,"1858 Queen St E, Toronto, ON M4L 1H1",2017-05-10 22:57:00,43.66847,-79.30731,2017-06-10 07:12:00,BNYB079,"55 Joseph Duggan Rd, Toronto, ON M4L 3X5",2017-06-10 07:22:00,43.66625,-79.30724000000001,2017-06-10 07:42:00
60,BNYB079,"55 Joseph Duggan Rd, Toronto, ON M4L 3X5",2017-06-10 07:22:00,43.66625,-79.30724000000001,2017-06-10 07:42:00,BNYB079,On street-18 Emily St(extra parking in garage),2017-06-10 08:12:00,43.64659,-79.38511,2017-06-10 11:24:00
61,BNYB079,On street-18 Emily St(extra parking in garage),2017-06-10 08:12:00,43.64659,-79.38511,2017-06-10 11:24:00,BNYB079,"Impark-65 Navy Wharf(underground garage, 5 spaces)",2017-06-10 11:59:00,43.64111,-79.39161,2017-06-10 17:07:00
63,BNYB080,Green P-800 Fleet St(No Double Parking),2017-05-10 21:21:00,43.63691,-79.40972,2017-06-10 09:48:00,BNYB080,Four Points by Sheraton-American Drive ($7.50 fee),2017-06-10 10:18:00,43.690459999999995,-79.62055,2017-06-10 16:27:00
65,BNYB081,Green P-800 Fleet St(No Double Parking),2017-05-10 21:21:00,43.63691,-79.40972,2017-06-10 16:17:00,BNYB081,"939 Western Battery Rd, Toronto, ON M6K 3P1",2017-06-10 16:22:00,43.64001,-79.4143,2017-06-10 16:57:00
67,BNYB082,"77 Lee Ave, Toronto, ON M4E 2P1",2017-05-10 21:21:00,43.670120000000004,-79.29754,2017-05-10 22:41:00,BNYB082,"5 Rainsford Rd, Toronto, ON M4L 3N5",2017-05-10 22:52:00,43.66873,-79.30649,2017-06-10 07:02:00
68,BNYB082,"5 Rainsford Rd, Toronto, ON M4L 3N5",2017-05-10 22:52:00,43.66873,-79.30649,2017-06-10 07:02:00,BNYB082,"186 Boardwalk Dr, Toronto, ON M4L 3X4",2017-06-10 07:07:00,43.66802,-79.30681,2017-06-10 07:12:00
69,BNYB082,"186 Boardwalk Dr, Toronto, ON M4L 3X4",2017-06-10 07:07:00,43.66802,-79.30681,2017-06-10 07:12:00,BNYB082,Unit Park-73 The Esplanade(surface lot),2017-06-10 07:47:00,43.64703,-79.3733,2017-06-10 11:03:00
70,BNYB082,Unit Park-73 The Esplanade(surface lot),2017-06-10 07:47:00,43.64703,-79.3733,2017-06-10 11:03:00,BNYB082,"175-177 Memorial Park Ave, Toronto, ON M4J",2017-06-10 11:54:00,43.69218,-79.32778,2017-06-10 17:07:00
72,BNYB083,"1465 Queen St E, Toronto, ON M4L 1E2",2017-05-10 21:21:00,43.66514,-79.3218,2017-06-10 07:42:00,BNYB083,"3811 E Liberty St, Toronto, ON M6K 3P6",2017-06-10 09:12:00,43.63864,-79.41920999999999,2017-06-10 10:03:00
73,BNYB083,"3811 E Liberty St, Toronto, ON M6K 3P6",2017-06-10 09:12:00,43.63864,-79.41920999999999,2017-06-10 10:03:00,BNYB083,"278 Soudan Ave, Toronto, ON M4S 1W4",2017-06-10 11:08:00,43.70639,-79.38818,2017-06-10 17:07:00
75,BNYB085,"71 Stafford St, Toronto, ON M6J 3R1",2017-05-10 21:21:00,43.64367,-79.41105999999999,2017-05-10 23:27:00,BNYB085,Green P-800 Fleet St(No Double Parking),2017-05-10 23:37:00,43.63691,-79.40972,2017-06-10 17:07:00
77,BNYB088,"250 Grace St, Toronto, ON M6G 3A6",2017-05-10 21:21:00,43.65789,-79.41684000000001,2017-05-10 22:57:00,BNYB088,"438 Shaw St, Toronto, ON M6J 2X3",2017-05-10 23:52:00,43.654720000000005,-79.42023,2017-06-10 00:02:00
78,BNYB088,"438 Shaw St, Toronto, ON M6J 2X3",2017-05-10 23:52:00,43.654720000000005,-79.42023,2017-06-10 00:02:00,BNYB088,Green P-363 Adelaide St W(no double parking),2017-06-10 00:27:00,43.6466,-79.39477,2017-06-10 01:43:00
79,BNYB088,Green P-363 Adelaide St W(no double parking),2017-06-10 00:27:00,43.6466,-79.39477,2017-06-10 01:43:00,BNYB088,"186 Bartlett Ave, Toronto, ON M6H 3G1",2017-06-10 02:13:00,43.66572,-79.43515,2017-06-10 11:29:00
80,BNYB088,"186 Bartlett Ave, Toronto, ON M6H 3G1",2017-06-10 02:13:00,43.66572,-79.43515,2017-06-10 11:29:00,BNYB088,Green P-105 Spadina Ave(No Double Parking),2017-06-10 12:40:00,43.64667,-79.39514,2017-06-10 14:00:00
