,VIN,Address,Date,Lat,Long,t2,VIN1,Address1,Date1,Lat1,Long1,t21
0,BNYB045,"1909 Danforth Ave, Toronto, ON M4C 1J4",2017-10-17 00:00:00,43.68482,-79.31658,2017-10-17 07:19:00,BNYB045,"23 Murdock Ave, Toronto, ON M4C 1E3",2017-10-17 07:29:00,43.68308,-79.31589,2017-10-17 08:40:00
1,BNYB045,"23 Murdock Ave, Toronto, ON M4C 1E3",2017-10-17 07:29:00,43.68308,-79.31589,2017-10-17 08:40:00,BNYB045,"8-10 Ellis Gardens, Toronto, ON M6S 1A7",2017-10-17 09:53:00,43.63852,-79.46793,2017-10-17 14:07:00
2,BNYB045,"8-10 Ellis Gardens, Toronto, ON M6S 1A7",2017-10-17 09:53:00,43.63852,-79.46793,2017-10-17 14:07:00,BNYB045,"45 Ripley Ave, Toronto, ON M6S 3P2",2017-10-17 17:13:00,43.63856,-79.47549,2017-10-17 23:57:00
4,BNYB048,"1904 Danforth Ave, Toronto, ON M4C 1J4",2017-10-17 00:00:00,43.68491,-79.31649,2017-10-17 07:24:00,BNYB048,"17 Mendel Ave, Toronto, ON M4C 1E6",2017-10-17 07:29:00,43.68413,-79.31287,2017-10-17 08:25:00
5,BNYB048,"17 Mendel Ave, Toronto, ON M4C 1E6",2017-10-17 07:29:00,43.68413,-79.31287,2017-10-17 08:25:00,BNYB048,Green P-323 Richmond St E(no double parking),2017-10-17 10:24:00,43.65315,-79.36866,2017-10-17 17:58:00
6,BNYB048,Green P-323 Richmond St E(no double parking),2017-10-17 10:24:00,43.65315,-79.36866,2017-10-17 17:58:00,BNYB048,"64 Roseneath Gardens, York, ON M6C 3X6",2017-10-17 18:59:00,43.68427,-79.43539,2017-10-17 21:01:00
7,BNYB048,"64 Roseneath Gardens, York, ON M6C 3X6",2017-10-17 18:59:00,43.68427,-79.43539,2017-10-17 21:01:00,BNYB048,"108 Borden St, Toronto, ON M5S 2N1",2017-10-17 22:01:00,43.65966,-79.40628,2017-10-17 23:57:00
9,BNYB050,"40 Benlamond Ave, Toronto, ON M4E 1Y9",2017-10-17 00:00:00,43.68122,-79.30119,2017-10-17 09:58:00,BNYB050,"180 Pickering St, Toronto, ON M4E 3J8",2017-10-17 10:09:00,43.68411,-79.29156,2017-10-17 22:16:00
10,BNYB050,"180 Pickering St, Toronto, ON M4E 3J8",2017-10-17 10:09:00,43.68411,-79.29156,2017-10-17 22:16:00,BNYB050,Starlight-80 Wellesley St E (behind building),2017-10-17 22:47:00,43.6663,-79.38019,2017-10-17 23:57:00
12,BNYB053,Targetpark-Loblaws Queens Quay E(enter off Jarvis),2017-10-17 00:00:00,43.64456,-79.36971,2017-10-17 17:23:00,BNYB053,"131 Victoria Park Ave, Toronto, ON M4E 3S8",2017-10-17 17:58:00,43.67985,-79.28358,2017-10-17 23:57:00
14,BNYB054,"25 Louise Ave, York, ON M6C 1E6",2017-10-17 00:00:00,43.68396,-79.42366,2017-10-17 08:15:00,BNYB054,"23 Temple Ave, Toronto, ON M6K 1C7",2017-10-17 09:10:00,43.63613,-79.42711,2017-10-17 17:43:00
15,BNYB054,"23 Temple Ave, Toronto, ON M6K 1C7",2017-10-17 09:10:00,43.63613,-79.42711,2017-10-17 17:43:00,BNYB054,"60 Garnock Ave, Toronto, ON M4K 1M2",2017-10-17 18:13:00,43.67648,-79.34927,2017-10-17 18:28:00
16,BNYB054,"60 Garnock Ave, Toronto, ON M4K 1M2",2017-10-17 18:13:00,43.67648,-79.34927,2017-10-17 18:28:00,BNYB054,"199 Laughton Ave, Toronto, ON M6N 2X7",2017-10-17 20:05:00,43.67337,-79.45702,2017-10-17 23:57:00
18,BNYB056,"68-78 Bleecker St, Toronto, ON M4X 1L8",2017-10-17 00:00:00,43.66477,-79.37294,2017-10-17 06:39:00,BNYB056,"2 Woodycrest Ave, Toronto, ON M4J 3A5",2017-10-17 07:04:00,43.67999,-79.34197,2017-10-17 07:40:00
19,BNYB056,"2 Woodycrest Ave, Toronto, ON M4J 3A5",2017-10-17 07:04:00,43.67999,-79.34197,2017-10-17 07:40:00,BNYB056,"Green P-31 Parliament St(surface lot, not garage)",2017-10-17 09:30:00,43.64955,-79.36169,2017-10-17 11:40:00
21,BNYB057,Green P-323 Richmond St E(no double parking),2017-10-17 00:00:00,43.65315,-79.36866,2017-10-17 18:43:00,BNYB057,"Impark-65 Navy Wharf(underground garage, 5 spaces)",2017-10-17 19:04:00,43.64111,-79.39161,2017-10-17 23:57:00
23,BNYB058,"3 Dr. Howard Lowrie Lane, Toronto, ON M6C 1B3",2017-10-17 00:00:00,43.68193,-79.42649,2017-10-17 08:40:00,BNYB058,"47 Chicora Ave, Toronto, ON M5R 1T7",2017-10-17 09:15:00,43.67579,-79.39978,2017-10-17 12:56:00
24,BNYB058,"47 Chicora Ave, Toronto, ON M5R 1T7",2017-10-17 09:15:00,43.67579,-79.39978,2017-10-17 12:56:00,BNYB058,"200 The Esplanade, Toronto, ON M5A 2P4",2017-10-17 13:16:00,43.64932,-79.36634,2017-10-17 13:31:00
25,BNYB058,"200 The Esplanade, Toronto, ON M5A 2P4",2017-10-17 13:16:00,43.64932,-79.36634,2017-10-17 13:31:00,BNYB058,"Green P-31 Parliament St(surface lot, not garage)",2017-10-17 14:27:00,43.64955,-79.36169,2017-10-17 17:28:00
26,BNYB058,"Green P-31 Parliament St(surface lot, not garage)",2017-10-17 14:27:00,43.64955,-79.36169,2017-10-17 17:28:00,BNYB058,"199 Queen St E, Toronto, ON M5A 1S2",2017-10-17 17:38:00,43.65389,-79.37074,2017-10-17 17:53:00
27,BNYB058,"199 Queen St E, Toronto, ON M5A 1S2",2017-10-17 17:38:00,43.65389,-79.37074,2017-10-17 17:53:00,BNYB058,"64 Soudan Ave, Toronto, ON M4S 1V8",2017-10-17 18:59:00,43.70486,-79.39569,2017-10-17 18:59:00
28,BNYB058,"64 Soudan Ave, Toronto, ON M4S 1V8",2017-10-17 18:59:00,43.70486,-79.39569,2017-10-17 18:59:00,BNYB058,"55 Redpath Ave, Toronto, ON M4S",2017-10-17 20:30:00,43.70477,-79.39168,2017-10-17 23:57:00
